timestamp,temperature,humidity,last_drank
2024-04-01T09:00:00,29.84,76.91,2024-04-01T09:00:00
2024-04-01T09:00:10,31.45,78.82,2024-04-01T09:00:00
2024-04-01T09:00:20,32.98,73.97,2024-04-01T09:00:00
2024-04-01T09:00:30,34.27,69.59,2024-04-01T09:00:00
2024-04-01T09:00:40,34.23,68.26,2024-04-01T09:00:00
2024-04-01T09:00:50,33.93,66.53,2024-04-01T09:00:00
2024-04-01T09:01:00,33.54,62.6,2024-04-01T09:00:00
2024-04-01T09:01:10,33.2,65.01,2024-04-01T09:00:00
2024-04-01T09:01:20,32.47,65.17,2024-04-01T09:00:00
2024-04-01T09:01:30,33.14,68.92,2024-04-01T09:00:00
2024-04-01T09:01:40,34.61,71.91,2024-04-01T09:00:00
2024-04-01T09:01:50,35.72,67.22,2024-04-01T09:00:00
2024-04-01T09:02:00,36.74,66.27,2024-04-01T09:00:00
2024-04-01T09:02:10,37.0,61.42,2024-04-01T09:00:00
2024-04-01T09:02:20,37.0,59.8,2024-04-01T09:00:00
2024-04-01T09:02:30,37.0,56.04,2024-04-01T09:00:00
2024-04-01T09:02:40,37.0,51.32,2024-04-01T09:00:00
2024-04-01T09:02:50,35.61,54.29,2024-04-01T09:00:00
2024-04-01T09:03:00,35.07,50.61,2024-04-01T09:00:00
2024-04-01T09:03:10,36.1,46.92,2024-04-01T09:00:00
2024-04-01T09:03:20,37.0,46.15,2024-04-01T09:00:00
2024-04-01T09:03:30,35.67,49.31,2024-04-01T09:00:00
2024-04-01T09:03:40,34.25,48.68,2024-04-01T09:00:00
2024-04-01T09:03:50,33.93,46.09,2024-04-01T09:00:00
2024-04-01T09:04:00,35.66,47.84,2024-04-01T09:00:00
2024-04-01T09:04:10,33.92,52.07,2024-04-01T09:00:00
2024-04-01T09:04:20,32.87,54.43,2024-04-01T09:00:00
2024-04-01T09:04:30,33.01,57.87,2024-04-01T09:00:00
2024-04-01T09:04:40,34.61,60.07,2024-04-01T09:00:00
2024-04-01T09:04:50,34.76,64.08,2024-04-01T09:00:00
2024-04-01T09:05:00,34.23,67.37,2024-04-01T09:00:00
2024-04-01T09:05:10,34.34,69.42,2024-04-01T09:00:00
2024-04-01T09:05:20,34.84,70.12,2024-04-01T09:00:00
2024-04-01T09:05:30,33.24,71.55,2024-04-01T09:00:00
2024-04-01T09:05:40,34.25,71.7,2024-04-01T09:00:00
2024-04-01T09:05:50,35.35,68.84,2024-04-01T09:00:00
2024-04-01T09:06:00,34.07,64.17,2024-04-01T09:00:00
2024-04-01T09:06:10,32.82,67.6,2024-04-01T09:00:00
2024-04-01T09:06:20,31.69,65.16,2024-04-01T09:00:00
2024-04-01T09:06:30,33.04,61.88,2024-04-01T09:00:00
2024-04-01T09:06:40,33.96,61.99,2024-04-01T09:00:00
2024-04-01T09:06:50,33.42,64.22,2024-04-01T09:00:00
